"Date","Open","High","Low","Close","Volume"
"10/31/2011","560","566","556","557.900024","1778740"
"11/1/2011","554","561.5","548.125","554.224976","1458210"
"11/2/2011","550.625","560.924988","550","553.424988","1550844"
"11/3/2011","548.900024","554.700012","543.5","552.5","1891268"
"11/4/2011","560.5","562.5","543.599976","549.900024","2716008"
"11/8/2011","548","557.400024","548","552.625","1692104"
"11/9/2011","555","573","553.150024","561.474976","3921980"
"11/11/2011","555","570.5","553.625","565.5","3629590"
"11/14/2011","570","578","562.25","564.200012","2329150"
"11/15/2011","562.525024","569.474976","560","562.200012","1468478"
"11/16/2011","563","566.400024","552.599976","558.625","1871602"
